,Assay_name,Assay_type,Description,l1,l2,l3,l4,Source,Note
31,T47,BioChemical,Muscarinic acetylcholine receptor M2,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  acetylcholine receptor
32,T48,BioChemical,Mineralocorticoid receptor,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group C,Chembl,transcription factor  nuclear receptor  nr3  nr3c  nr3c2
33,T49,BioChemical,Integrin alpha-IIb,Membrane receptor,,,,Chembl,membrane receptor
34,T50,BioChemical,Beta-1 adrenergic receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor
35,T51,BioChemical,Serotonin 1a (5-HT1a) receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor
36,T52,BioChemical,Alpha-2a adrenergic receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor
37,T54,BioChemical,DNA polymerase alpha subunit,Enzyme,Transferase,,,Chembl,enzyme  transferase
38,T55,BioChemical,Arachidonate 5-lipoxygenase,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
39,T56,BioChemical,Androgen Receptor,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group C,Chembl,transcription factor  nuclear receptor  nr3  nr3c  nr3c4
40,T57,BioChemical,Retinoic acid receptor alpha,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group B,Chembl,transcription factor  nuclear receptor  nr1  nr1b  nr1b1
41,T59,BioChemical,Thyroid hormone receptor alpha,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group A,Chembl,transcription factor  nuclear receptor  nr1  nr1a  nr1a1
42,T60,BioChemical,Growth hormone receptor,Membrane receptor,,,,Chembl,membrane receptor
43,T61,BioChemical,Muscarinic acetylcholine receptor M1,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  acetylcholine receptor
44,T62,BioChemical,DNA topoisomerase I,Enzyme,Isomerase,,,Chembl,enzyme  isomerase
45,T63,BioChemical,DNA topoisomerase II alpha,Enzyme,Isomerase,,,Chembl,enzyme  isomerase
46,T64,BioChemical,Vitamin D receptor,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group I,Chembl,transcription factor  nuclear receptor  nr1  nr1i  nr1i1
47,T65,BioChemical,Cytochrome P450 19A1,Enzyme,Cytochrome P450,Cytochrome P450 family 19,Cytochrome P450 family 19A,Chembl,enzyme  cytochrome p450  cyp_19  cyp_19a  cyp_19a1
48,T68,BioChemical,Inosine-5'-monophosphate dehydrogenase 2,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
49,T69,BioChemical,Angiotensin-converting enzyme,Enzyme,Protease,Metallo protease,Metallo protease MAE clan,Chembl,enzyme  protease  metallo  mae  m2
50,T71,BioChemical,Farnesyl diphosphate synthase,Enzyme,Transferase,,,Chembl,enzyme  transferase
51,T72,BioChemical,Dopamine D2 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  dopamine receptor
52,T73,BioChemical,Tyrosinase,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
53,T74,BioChemical,GABA receptor alpha-1 subunit,Ion channel,Ligand-gated ion channel,GABA-A receptor,,Chembl,ion channel  lgic  gabaa
54,T76,BioChemical,Cytochrome P450 11B1,Enzyme,Cytochrome P450,Cytochrome P450 family 11,Cytochrome P450 family 11B,Chembl,enzyme  cytochrome p450  cyp_11  cyp_11b  cyp_11b1
55,T77,BioChemical,Pancreatic lipase,Enzyme,Hydrolase,,,Chembl,enzyme  hydrolase
56,T78,BioChemical,Thyroid stimulating hormone receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Glycohormone receptor,Chembl,membrane receptor  7tm1  peptide  glycohormone receptor  glycohormone receptor
57,T79,BioChemical,Steroid 5-alpha-reductase 1,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
58,T80,BioChemical,FK506-binding protein 1A,Enzyme,Isomerase,,,Chembl,enzyme  isomerase
59,T81,BioChemical,Myeloid cell surface antigen CD33,Surface antigen,,,,Chembl,surface antigen
60,T83,BioChemical,DOPA decarboxylase,Enzyme,Lyase,,,Chembl,enzyme  lyase
61,T84,BioChemical,Inosine-5'-monophosphate dehydrogenase 1,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
62,T86,BioChemical,Monoamine oxidase A,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
63,T87,BioChemical,Cannabinoid CB1 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  cannabinoid receptor
64,T88,BioChemical,Dopamine D1 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  dopamine receptor
65,T89,BioChemical,Ryanodine receptor 1,Ion channel,Ligand-gated ion channel,Ryanodine receptor,,Chembl,ion channel  lgic  ryr
66,T90,BioChemical,Dopamine D4 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  dopamine receptor
67,T91,BioChemical,Catechol O-methyltransferase,Enzyme,Transferase,,,Chembl,enzyme  transferase
68,T93,BioChemical,Acetylcholinesterase,Enzyme,Hydrolase,,,Chembl,enzyme  hydrolase
69,T95,BioChemical,Luteinizing hormone/Choriogonadotropin receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Glycohormone receptor,Chembl,membrane receptor  7tm1  peptide  glycohormone receptor  glycohormone receptor
70,T96,BioChemical,Cyclooxygenase-1,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
71,T97,BioChemical,Cyclophilin B,Enzyme,,,,Chembl,enzyme
72,T98,BioChemical,Ribonucleoside-diphosphate reductase M1 chain,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
73,T99,BioChemical,Follicle stimulating hormone receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Glycohormone receptor,Chembl,membrane receptor  7tm1  peptide  glycohormone receptor  glycohormone receptor
74,T100,BioChemical,Norepinephrine transporter,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC06 neurotransmitter transporter family,Chembl,transporter  electrochemical  slc  slc06
75,T102,BioChemical,Histamine H2 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  histamine receptor
76,T103,BioChemical,Alpha-1d adrenergic receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor
77,T104,BioChemical,Monoamine oxidase B,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
78,T105,BioChemical,Serotonin 1d (5-HT1d) receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor
79,T106,BioChemical,Serotonin 1b (5-HT1b) receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor
80,T107,BioChemical,Serotonin 2a (5-HT2a) receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor
81,T108,BioChemical,Serotonin 2c (5-HT2c) receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor
82,T111,BioChemical,Inositol-1(or 4)-monophosphatase 1,Enzyme,Hydrolase,,,Chembl,enzyme  hydrolase
83,T112,BioChemical,Vasopressin V2 receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  vasopressin and oxytocin receptor
84,T113,BioChemical,GABA transporter 1,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC06 neurotransmitter transporter family,Chembl,transporter  electrochemical  slc  slc06
85,T114,BioChemical,Adenosine A1 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Nucleotide-like receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor
86,T115,BioChemical,Type-1 angiotensin II receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  angiotensin receptor
87,T116,BioChemical,Oxytocin receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  vasopressin and oxytocin receptor
88,T117,BioChemical,Somatostatin receptor 2,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  somatostatin receptor
89,T118,BioChemical,Gonadotropin-releasing hormone receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  gnrh receptor
90,T119,BioChemical,Calcitonin receptor,Membrane receptor,Family B G protein-coupled receptor,Peptide receptor (family B GPCR),Calcitonin-like receptor,Chembl,membrane receptor  7tm2  peptide  calcitonin-like  calcitonin receptor
91,T120,BioChemical,Steroid 5-alpha-reductase 2,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
92,T121,BioChemical,Serotonin transporter,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC06 neurotransmitter transporter family,Chembl,transporter  electrochemical  slc  slc06
93,T123,BioChemical,4-hydroxyphenylpyruvate dioxygenase,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
94,T124,BioChemical,Corticotropin releasing factor receptor 1,Membrane receptor,Family B G protein-coupled receptor,Peptide receptor (family B GPCR),Corticotropin releasing factor receptor,Chembl,membrane receptor  7tm2  peptide  corticotropin releasing factor receptor  corticotropin releasing factor receptor
95,T125,BioChemical,Alpha-1a adrenergic receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor
96,T126,BioChemical,Cyclooxygenase-2,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
97,T127,BioChemical,Histamine H1 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  histamine receptor
98,T128,BioChemical,Alpha-1b adrenergic receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor
99,T129,BioChemical,Mu opioid receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  opioid receptor
100,T130,BioChemical,Dopamine D3 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  dopamine receptor
101,T131,BioChemical,Sodium channel protein type I alpha subunit,Ion channel,Voltage-gated ion channel,Voltage-gated sodium channel,,Chembl,ion channel  vgc  vg na
102,T132,BioChemical,Amiloride-sensitive sodium channel alpha-subunit,Ion channel,Ligand-gated ion channel,Epithelial sodium channel,,Chembl,ion channel  lgic  enac
103,T133,BioChemical,Peroxisome proliferator-activated receptor gamma,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group C,Chembl,transcription factor  nuclear receptor  nr1  nr1c  nr1c3
104,T134,BioChemical,Vasopressin V1a receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  vasopressin and oxytocin receptor
105,T136,BioChemical,Delta opioid receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  opioid receptor
106,T137,BioChemical,Kappa opioid receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  opioid receptor
107,T138,BioChemical,Nociceptin receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  opioid receptor
108,T140,BioChemical,Prostanoid FP receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  prostanoid receptor
109,T142,BioChemical,Prostanoid EP2 receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  prostanoid receptor
110,T143,BioChemical,Prostanoid IP receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  prostanoid receptor
111,T144,BioChemical,Serotonin 3a (5-HT3a) receptor,Ion channel,Ligand-gated ion channel,5HT3 receptor,,Chembl,ion channel  lgic  5ht3
112,T146,BioChemical,Glucagon receptor,Membrane receptor,Family B G protein-coupled receptor,Peptide receptor (family B GPCR),Glucagon-like receptor,Chembl,membrane receptor  7tm2  peptide  glucagon-like  glucagon receptor
113,T147,BioChemical,Secretin receptor,Membrane receptor,Family B G protein-coupled receptor,Peptide receptor (family B GPCR),Glucagon-like receptor,Chembl,membrane receptor  7tm2  peptide  glucagon-like  secretin receptor
114,T148,BioChemical,Vasopressin V1b receptor,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  vasopressin and oxytocin receptor
115,T149,BioChemical,Xanthine dehydrogenase,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
116,T150,BioChemical,Voltage-gated calcium channel alpha2/delta subunit 1,Auxiliary transport protein,Calcium channel auxiliary subunit alpha2delta family,,,Chembl,auxiliary transport protein  ca alpha2delta
117,T151,BioChemical,Thiazide-sensitive sodium-chloride cotransporter,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC12 family of cation-coupled chloride transporters,Chembl,transporter  electrochemical  slc  slc12
118,T153,BioChemical,Gamma-amino-N-butyrate transaminase,Enzyme,Transferase,,,Chembl,enzyme  transferase
119,T154,BioChemical,Melanocortin receptor 2,Membrane receptor,Family A G protein-coupled receptor,Peptide receptor (family A GPCR),Short peptide receptor (family A GPCR),Chembl,membrane receptor  7tm1  peptide  short peptide  melanocortin receptor
120,T155,BioChemical,Dopamine transporter,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC06 neurotransmitter transporter family,Chembl,transporter  electrochemical  slc  slc06
121,T157,BioChemical,Dihydroorotate dehydrogenase,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
122,T158,BioChemical,Growth hormone-releasing hormone receptor,Membrane receptor,Family B G protein-coupled receptor,Peptide receptor (family B GPCR),Glucagon-like receptor,Chembl,membrane receptor  7tm2  peptide  glucagon-like  growth hormone-releasing hormone receptor
123,T160,BioChemical,Parathyroid hormone receptor,Membrane receptor,Family B G protein-coupled receptor,Peptide receptor (family B GPCR),Parathyroid hormone receptor,Chembl,membrane receptor  7tm2  peptide  parathyroid hormone receptor  parathyroid hormone receptor
124,T161,BioChemical,Glutamate (NMDA) receptor subunit zeta 1,Ion channel,Ligand-gated ion channel,Ionotropic glutamate receptor,NMDA receptor,Chembl,ion channel  lgic  glut  nmda
125,T162,BioChemical,Synaptic vesicular amine transporter,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC18 family of vesicular amine transporters,Chembl,transporter  electrochemical  slc  slc18
126,T163,BioChemical,Peroxisome proliferator-activated receptor alpha,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group C,Chembl,transcription factor  nuclear receptor  nr1  nr1c  nr1c1
127,T164,BioChemical,Sulfonylurea receptor 1,Transporter,Primary active transporter,ATP-binding cassette,ABCC subfamily,Chembl,transporter  ntpase  atp binding cassette  mrp
128,T165,BioChemical,HERG,Ion channel,Voltage-gated ion channel,Potassium channels,Voltage-gated potassium channel,Chembl,ion channel  vgc  k  vg k
129,T166,BioChemical,Glutamate [NMDA] receptor subunit epsilon 1,Ion channel,Ligand-gated ion channel,Ionotropic glutamate receptor,NMDA receptor,Chembl,ion channel  lgic  glut  nmda
130,T167,BioChemical,Sodium-(potassium)-chloride cotransporter 2,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC12 family of cation-coupled chloride transporters,Chembl,transporter  electrochemical  slc  slc12
131,T168,BioChemical,Serotonin 4 (5-HT4) receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  serotonin receptor
132,T169,BioChemical,Voltage-gated L-type calcium channel alpha-1C subunit,Ion channel,Voltage-gated ion channel,Voltage-gated calcium channel,,Chembl,ion channel  vgc  vg ca
133,T170,BioChemical,Phosphodiesterase 3A,Enzyme,Phosphodiesterase,Phosphodiesterase 3,Phosphodiesterase 3A,Chembl,enzyme  phosphodiesterase  pde_3  pde_3a
134,T172,BioChemical,Thioredoxin reductase 1,Enzyme,Oxidoreductase,,,Chembl,enzyme  reductase
135,T174,BioChemical,Estrogen receptor beta,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group A,Chembl,transcription factor  nuclear receptor  nr3  nr3a  nr3a2
136,T175,BioChemical,Equilibrative nucleoside transporter 1,Transporter,Electrochemical transporter,SLC superfamily of solute carriers,SLC28 and SLC29 families of nucleoside transporters,Chembl,transporter  electrochemical  slc  slc28 and slc29  slc29
137,T176,BioChemical,Purinergic receptor P2Y12,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Nucleotide-like receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  nucleotide-like receptor  purine receptor
138,T179,BioChemical,Cysteinyl leukotriene receptor 1,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Lipid-like ligand receptor (family A GPCR),Chembl,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  leukotriene receptor
139,T180,BioChemical,Cyclophilin A,Enzyme,Isomerase,,,Chembl,enzyme  isomerase
140,T181,BioChemical,B-lymphocyte antigen CD20,Ion channel,Other ion channel,Miscellaneous ion channel,CD20 Ca2+ channel family,Chembl,ion channel  other  misc  cd20
141,T182,BioChemical,Interleukin-2 receptor alpha chain,Membrane receptor,,,,Chembl,membrane receptor
142,T184,BioChemical,Glutamate carboxypeptidase II,Enzyme,Protease,Metallo protease,Metallo protease MH clan,Chembl,enzyme  protease  metallo  mh  m28  m28b
143,T185,BioChemical,TNF-alpha,Secreted protein,,,,Chembl,secreted
144,T187,BioChemical,Vascular endothelial growth factor A,Secreted protein,,,,Chembl,secreted
145,T188,BioChemical,Receptor protein-tyrosine kinase erbB-2,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  egfr
146,T190,BioChemical,Leukocyte adhesion glycoprotein LFA-1 alpha,Adhesion,,,,Chembl,adhesion
147,T190,BioChemical,Leukocyte adhesion glycoprotein LFA-1 alpha,Membrane receptor,,,,Chembl,membrane receptor
148,T193,BioChemical,Coagulation factor IX,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
149,T194,BioChemical,Coagulation factor X,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
150,T195,BioChemical,TNF-beta,Secreted protein,,,,Chembl,secreted
151,T196,BioChemical,T-cell surface antigen CD2,Surface antigen,,,,Chembl,surface antigen
152,T197,BioChemical,Platelet-derived growth factor receptor beta,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Chembl,enzyme  kinase  protein kinase  tk  pdgfr
153,T198,BioChemical,Interleukin-1 receptor,Membrane receptor,,,,Chembl,membrane receptor
154,T200,BioChemical,Interferon-alpha/beta receptor alpha chain,Membrane receptor,,,,Chembl,membrane receptor
155,T201,BioChemical,Erythropoietin receptor,Membrane receptor,,,,Chembl,membrane receptor
156,T203,BioChemical,CAMPATH-1 antigen,Surface antigen,,,,Chembl,surface antigen
157,T206,BioChemical,Interleukin 11 receptor alpha,Membrane receptor,,,,Chembl,membrane receptor
158,T207,BioChemical,Granulocyte colony stimulating factor receptor,Membrane receptor,,,,Chembl,membrane receptor
159,T208,BioChemical,Elastase 1,Enzyme,Protease,Serine protease,Serine protease PA clan,Chembl,enzyme  protease  serine  pas  s1a
160,T214,BioChemical,Muscarinic acetylcholine receptor M4,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  acetylcholine receptor
161,T215,BioChemical,Muscarinic acetylcholine receptor M5,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  acetylcholine receptor
162,T216,BioChemical,Alpha-2b adrenergic receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor
163,T218,BioChemical,Alpha-2c adrenergic receptor,Membrane receptor,Family A G protein-coupled receptor,Small molecule receptor (family A GPCR),Monoamine receptor,Chembl,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor
